Date,HomeTeam,AwayTeam,FTR,HomeOdds,DrawOdds,AwayOdds
30/08/08,Sampdoria,Inter,D,4.33,3.2,1.91
30/08/08,Udinese,Palermo,H,2.1,3.1,3.8
31/08/08,Atalanta,Siena,H,2.05,3.1,4.0
31/08/08,Cagliari,Lazio,A,3.0,3.0,2.5
31/08/08,Catania,Genoa,H,2.4,3.0,3.2
31/08/08,Chievo,Reggina,H,2.15,3.0,3.75
31/08/08,Fiorentina,Juventus,D,2.75,3.0,2.75
31/08/08,Milan,Bologna,A,1.3,4.75,12.0
31/08/08,Roma,Napoli,D,1.57,3.6,6.5
31/08/08,Torino,Lecce,H,1.8,3.1,5.25
13/09/08,Inter,Catania,H,1.25,5.0,15.0
13/09/08,Palermo,Roma,H,3.5,3.1,2.2
14/09/08,Bologna,Atalanta,A,2.2,3.0,3.6
14/09/08,Genoa,Milan,H,4.5,3.1,1.91
14/09/08,Juventus,Udinese,H,1.53,3.75,7.0
14/09/08,Lazio,Sampdoria,H,2.2,3.0,3.6
14/09/08,Lecce,Chievo,H,2.38,3.0,3.2
14/09/08,Napoli,Fiorentina,H,2.6,3.0,2.88
14/09/08,Reggina,Torino,D,2.5,3.0,3.0
14/09/08,Siena,Cagliari,H,1.91,3.1,4.5
20/09/08,Catania,Atalanta,H,2.35,2.9,3.4
20/09/08,Roma,Reggina,H,1.33,4.75,10.0
21/09/08,Cagliari,Juventus,A,6.25,3.5,1.62
21/09/08,Fiorentina,Bologna,H,1.53,3.6,7.5
21/09/08,Lecce,Siena,D,2.25,2.88,3.6
21/09/08,Milan,Lazio,H,1.73,3.3,5.5
21/09/08,Palermo,Genoa,H,2.1,3.1,3.8
21/09/08,Sampdoria,Chievo,D,1.62,3.5,6.25
21/09/08,Torino,Inter,A,5.75,3.4,1.67
21/09/08,Udinese,Napoli,D,2.1,3.1,3.75
24/09/08,Atalanta,Cagliari,H,1.73,3.3,5.5
24/09/08,Bologna,Udinese,A,2.65,2.9,2.9
24/09/08,Chievo,Torino,D,2.25,2.9,3.6
24/09/08,Genoa,Roma,H,4.2,3.0,2.05
24/09/08,Inter,Lecce,H,1.17,6.5,19.0
24/09/08,Juventus,Catania,D,1.25,5.25,13.0
24/09/08,Lazio,Fiorentina,H,2.4,3.0,3.2
