Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A
17/08/2024,Genoa,Inter,D,6.5,4.0,1.53
17/08/2024,Parma,Fiorentina,D,3.5,3.2,2.2
17/08/2024,Empoli,Monza,D,2.5,3.2,3.0
17/08/2024,Milan,Torino,D,1.62,3.8,5.75
18/08/2024,Bologna,Udinese,D,1.91,3.4,4.33
18/08/2024,Verona,Napoli,H,4.75,3.6,1.75
18/08/2024,Cagliari,Roma,D,4.1,3.4,1.95
18/08/2024,Lazio,Venezia,H,1.48,4.1,7.5
19/08/2024,Lecce,Atalanta,A,4.2,3.7,1.85
19/08/2024,Juventus,Como,H,1.33,5.0,9.5
24/08/2024,Parma,Milan,H,4.75,3.9,1.7
24/08/2024,Udinese,Lazio,H,3.3,3.1,2.35
24/08/2024,Inter,Lecce,H,1.2,7.0,13.0
24/08/2024,Monza,Genoa,A,2.6,3.1,2.88
25/08/2024,Fiorentina,Venezia,D,1.42,4.75,7.0
25/08/2024,Torino,Atalanta,H,3.2,3.1,2.38
25/08/2024,Napoli,Bologna,H,1.9,3.5,4.1
25/08/2024,Roma,Empoli,A,1.5,4.33,6.5
26/08/2024,Cagliari,Como,D,2.1,3.4,3.4
26/08/2024,Verona,Juventus,A,5.25,3.75,1.67
30/08/2024,Venezia,Torino,A,3.4,3.3,2.2
30/08/2024,Inter,Atalanta,H,1.57,4.33,5.5
31/08/2024,Bologna,Empoli,D,1.62,3.75,6.0
31/08/2024,Lecce,Cagliari,H,2.25,3.2,3.4
31/08/2024,Lazio,Milan,D,2.9,3.4,2.4
31/08/2024,Napoli,Parma,H,1.48,4.33,7.0
01/09/2024,Fiorentina,Monza,D,1.67,3.9,5.0
01/09/2024,Genoa,Verona,A,2.0,3.3,4.0
01/09/2024,Juventus,Roma,D,1.75,3.6,5.0
01/09/2024,Udinese,Como,H,2.05,3.4,3.75
14/09/2024,Como,Bologna,D,3.0,3.25,2.45
14/09/2024,Empoli,Juventus,D,5.25,3.6,1.7
14/09/2024,Milan,Venezia,H,1.3,5.75,9.0
15/09/2024,Genoa,Roma,D,3.25,3.3,2.25
15/09/2024,Atalanta,Fiorentina,H,1.8,3.6,4.5
15/09/2024,Torino,Lecce,D,1.8,3.5,4.75
15/09/2024,Cagliari,Napoli,A,4.33,3.75,1.8
15/09/2024,Monza,Inter,D,8.0,4.75,1.4
16/09/2024,Parma,Udinese,A,2.25,3.4,3.2
16/09/2024,Lazio,Verona,H,1.62,3.8,6.0
20/09/2024,Cagliari,Empoli,A,2.15,3.4,3.4
20/09/2024,Verona,Torino,A,2.7,3.0,2.8
21/09/2024,Venezia,Genoa,H,3.25,3.2,2.35
21/09/2024,Juventus,Napoli,D,2.2,3.4,3.3
21/09/2024,Lecce,Parma,D,2.2,3.5,3.25
22/09/2024,Fiorentina,Lazio,H,2.25,3.4,3.2
22/09/2024,Monza,Bologna,A,3.3,3.1,2.4
22/09/2024,Roma,Udinese,H,1.62,4.2,5.25
22/09/2024,Inter,Milan,A,1.65,4.0,5.25
24/09/2024,Atalanta,Como,A,1.44,4.5,7.0
27/09/2024,Milan,Lecce,H,1.33,5.75,8.0
28/09/2024,Udinese,Inter,A,7.0,4.33,1.48
28/09/2024,Genoa,Juventus,A,5.5,3.5,1.7
28/09/2024,Bologna,Atalanta,D,3.0,3.3,2.4
29/09/2024,Torino,Lazio,A,2.9,3.1,2.55
29/09/2024,Como,Verona,H,2.1,3.4,3.6
29/09/2024,Roma,Venezia,H,1.4,4.75,8.0
29/09/2024,Empoli,Fiorentina,D,3.4,3.3,2.2
29/09/2024,Napoli,Monza,H,1.36,5.0,8.5
30/09/2024,Parma,Cagliari,A,2.1,3.6,3.4
04/10/2024,Napoli,Como,H,1.45,4.33,7.0
04/10/2024,Verona,Venezia,H,2.5,3.2,2.9
05/10/2024,Udinese,Lecce,H,2.2,3.3,3.3
05/10/2024,Atalanta,Genoa,H,1.45,4.75,6.5
05/10/2024,Inter,Torino,H,1.3,5.0,11.0
06/10/2024,Juventus,Cagliari,D,1.38,5.0,8.0
06/10/2024,Bologna,Parma,D,1.8,3.7,4.33
06/10/2024,Lazio,Empoli,H,1.57,4.0,6.0
06/10/2024,Monza,Roma,D,4.2,3.4,1.91
06/10/2024,Fiorentina,Milan,H,3.1,3.6,2.2
19/10/2024,Como,Parma,D,1.95,3.6,3.8
19/10/2024,Genoa,Bologna,D,3.75,3.1,2.15
19/10/2024,Milan,Udinese,H,1.38,4.75,8.5
19/10/2024,Juventus,Lazio,H,2.05,3.3,3.8
20/10/2024,Empoli,Napoli,A,6.0,3.5,1.67
20/10/2024,Lecce,Fiorentina,A,3.2,3.3,2.3
20/10/2024,Venezia,Atalanta,A,5.5,4.0,1.62
20/10/2024,Cagliari,Torino,H,2.8,3.1,2.7
20/10/2024,Roma,Inter,A,4.2,3.7,1.85
21/10/2024,Verona,Monza,A,2.3,3.0,3.5
25/10/2024,Udinese,Cagliari,H,2.2,3.3,3.3
25/10/2024,Torino,Como,H,2.63,3.0,2.9
26/10/2024,Napoli,Lecce,H,1.25,6.0,12.0
26/10/2024,Atalanta,Verona,H,1.38,4.75,8.0
27/10/2024,Parma,Empoli,D,2.15,3.3,3.5
27/10/2024,Lazio,Genoa,H,1.53,4.2,6.25
27/10/2024,Monza,Venezia,D,2.15,3.25,3.6
27/10/2024,Inter,Juventus,D,1.72,3.5,5.0
27/10/2024,Fiorentina,Roma,H,2.55,3.4,2.75
29/10/2024,Cagliari,Bologna,A,3.0,3.25,2.35
29/10/2024,Lecce,Verona,H,2.25,3.25,3.25
29/10/2024,Milan,Napoli,A,2.45,3.4,2.8
30/10/2024,Empoli,Inter,A,7.5,4.33,1.44
30/10/2024,Venezia,Udinese,H,2.7,3.25,2.65
30/10/2024,Atalanta,Monza,H,1.3,5.0,10.0
30/10/2024,Juventus,Parma,D,1.4,4.75,8.0
31/10/2024,Genoa,Fiorentina,A,4.2,3.9,1.8
31/10/2024,Como,Lazio,A,2.88,3.3,2.45
31/10/2024,Roma,Torino,H,1.7,3.8,5.0
02/11/2024,Bologna,Lecce,H,1.62,3.5,6.5
02/11/2024,Udinese,Juventus,A,4.2,3.2,1.95
02/11/2024,Monza,Milan,A,5.0,3.6,1.7
03/11/2024,Napoli,Atalanta,A,2.05,3.4,3.7
03/11/2024,Torino,Fiorentina,A,3.2,3.3,2.25
03/11/2024,Verona,Roma,H,5.0,3.5,1.8
03/11/2024,Inter,Venezia,H,1.17,7.0,15.0
04/11/2024,Empoli,Como,H,2.7,3.1,2.63
04/11/2024,Parma,Genoa,A,1.85,3.4,4.33
04/11/2024,Lazio,Cagliari,H,1.5,3.75,7.5
07/11/2024,Genoa,Como,D,2.88,3.3,2.45
08/11/2024,Lecce,Empoli,D,2.4,3.0,3.3
09/11/2024,Venezia,Parma,A,2.55,3.4,2.7
09/11/2024,Cagliari,Milan,D,5.5,4.1,1.6
09/11/2024,Juventus,Torino,H,1.57,3.8,6.5
10/11/2024,Atalanta,Udinese,H,1.38,5.0,7.5
10/11/2024,Fiorentina,Verona,H,1.44,4.5,7.0
10/11/2024,Roma,Bologna,A,2.05,3.4,3.6
10/11/2024,Monza,Lazio,A,4.1,3.8,1.83
10/11/2024,Inter,Napoli,D,1.85,3.7,4.1
23/11/2024,Verona,Inter,A,7.0,5.25,1.38
23/11/2024,Milan,Juventus,D,2.15,3.3,3.5
23/11/2024,Parma,Atalanta,A,5.0,4.2,1.62
24/11/2024,Genoa,Cagliari,D,2.63,3.1,2.9
24/11/2024,Como,Fiorentina,A,3.3,3.1,2.3
24/11/2024,Torino,Monza,D,2.0,3.0,4.33
24/11/2024,Napoli,Roma,H,1.73,3.6,5.0
24/11/2024,Lazio,Bologna,H,1.9,3.5,4.2
25/11/2024,Empoli,Udinese,D,2.8,2.9,2.8
25/11/2024,Venezia,Lecce,A,2.3,3.25,3.2
29/11/2024,Cagliari,Verona,H,1.91,3.4,4.1
30/11/2024,Como,Monza,D,2.0,3.25,3.9
30/11/2024,Milan,Empoli,H,1.36,4.75,9.0
30/11/2024,Bologna,Venezia,H,1.65,3.9,5.25
01/12/2024,Udinese,Genoa,A,2.0,3.3,4.0
01/12/2024,Parma,Lazio,H,4.2,3.8,1.8
01/12/2024,Torino,Napoli,A,5.0,3.4,1.8
01/12/2024,Lecce,Juventus,D,5.25,3.6,1.7
02/12/2024,Roma,Atalanta,A,3.2,3.5,2.2
06/12/2024,Inter,Parma,H,1.18,7.0,15.0
06/12/2024,Atalanta,Milan,H,2.15,3.4,3.3
07/12/2024,Genoa,Torino,D,2.5,3.1,3.0
07/12/2024,Juventus,Bologna,D,1.7,3.6,5.25
07/12/2024,Roma,Lecce,H,1.57,4.0,6.25
08/12/2024,Fiorentina,Cagliari,H,1.5,4.5,6.0
08/12/2024,Verona,Empoli,A,2.63,2.75,3.25
08/12/2024,Venezia,Como,D,2.75,3.3,2.6
08/12/2024,Napoli,Lazio,A,1.9,3.4,4.33
09/12/2024,Monza,Udinese,A,2.7,3.0,2.88
13/12/2024,Empoli,Torino,A,2.7,2.88,3.0
14/12/2024,Cagliari,Atalanta,A,5.5,4.33,1.55
14/12/2024,Udinese,Napoli,A,5.25,3.5,1.73
14/12/2024,Juventus,Venezia,D,1.3,5.25,9.0
15/12/2024,Lecce,Monza,H,2.45,3.0,3.2
15/12/2024,Bologna,Fiorentina,H,2.7,3.1,2.75
15/12/2024,Parma,Verona,A,1.85,3.75,4.0
15/12/2024,Como,Roma,H,3.25,3.4,2.2
15/12/2024,Milan,Genoa,D,1.33,5.25,8.0
16/12/2024,Lazio,Inter,A,3.6,3.4,2.1
20/12/2024,Verona,Milan,A,5.5,4.1,1.57
21/12/2024,Torino,Bologna,A,3.3,2.9,2.45
21/12/2024,Genoa,Napoli,A,5.25,3.6,1.7
21/12/2024,Lecce,Lazio,A,5.0,3.6,1.73
22/12/2024,Roma,Parma,H,1.53,4.2,6.25
22/12/2024,Venezia,Cagliari,H,2.5,3.3,2.88
22/12/2024,Atalanta,Empoli,H,1.29,5.5,11.0
22/12/2024,Monza,Juventus,A,6.25,3.5,1.65
23/12/2024,Fiorentina,Udinese,A,1.6,3.8,6.0
23/12/2024,Inter,Como,H,1.2,6.5,15.0
28/12/2024,Empoli,Genoa,A,2.55,2.9,3.1
28/12/2024,Parma,Monza,H,2.3,3.5,3.0
28/12/2024,Cagliari,Inter,A,6.5,4.75,1.44
28/12/2024,Lazio,Atalanta,D,3.0,3.3,2.4
29/12/2024,Udinese,Torino,D,2.25,3.1,3.5
29/12/2024,Napoli,Venezia,H,1.27,5.5,11.0
29/12/2024,Juventus,Fiorentina,D,1.95,3.3,4.2
29/12/2024,Milan,Roma,D,2.25,3.4,3.2
30/12/2024,Como,Lecce,H,1.7,3.7,5.0
30/12/2024,Bologna,Verona,A,1.5,4.1,7.0
04/01/2025,Venezia,Empoli,D,2.3,3.1,3.4
04/01/2025,Fiorentina,Napoli,A,2.88,3.25,2.55
04/01/2025,Verona,Udinese,D,3.0,3.0,2.55
05/01/2025,Monza,Cagliari,A,2.4,3.25,3.0
05/01/2025,Lecce,Genoa,D,2.63,3.0,2.9
05/01/2025,Torino,Parma,D,1.85,3.4,4.5
05/01/2025,Roma,Lazio,H,2.55,3.1,3.0
10/01/2025,Lazio,Como,D,1.9,3.4,4.2
11/01/2025,Empoli,Lecce,A,2.0,3.1,4.33
11/01/2025,Udinese,Atalanta,D,5.25,3.8,1.65
